	序号NO.	地区REGION	产品类别CATEGORY	在华注册编号CHINA REG. NO.	所在地区注册编号OVERSEAS REG. NO.	企业名称NAME	生产场所地址ADDRESS	注册日期REG. DATE	注册有效期REG. EXPIRE DATE	状态STATE
39	40	中国台湾	水产品	CTWN18FV1806010408	CT7-0511	合鸿16	高雄市前镇区渔港东二路3号119室	2018-06-01	2023-05-31	暂停进口
40	41	中国台湾	水产品	CTWN18FV1806010410	CT7-0520	亿龙202	高雄市前镇区后平路82号2楼之2	2018-06-01	2023-05-31	暂停进口
41	42	中国台湾	水产品	CTWN18FV1806010411	CT7-0524	建昶226	高雄市鼓山区延平街48号	2018-06-01	2023-05-31	暂停进口
42	43	中国台湾	水产品	CTWN18FV1806010412	CT7-0528	北裕6	高雄市前镇区后平路87号7楼	2018-06-01	2023-05-31	暂停进口
43	44	中国台湾	水产品	CTWN18FV1806010413	CT7-0530	日大盈	高雄市前镇区天后街67号1楼	2018-06-01	2023-05-31	有效
44	45	中国台湾	水产品	CTWN18PP1806010056	7F30075/99665880	佳辰实业股份有限公司	屏东县南州乡寿元村大同路99号	2018-06-01	2023-05-31	暂停进口
45	46	中国台湾	水产品	CTWN18FV1806010415	CT7-0537	丰春136号	高雄市前镇区渔港东二路3号3楼328室	2018-06-01	2023-05-31	暂停进口
46	47	中国台湾	水产品	CTWN18FV1806010416	CT7-0538	丰春166号	高雄市前镇区渔港东二路3号3楼328室	2018-06-01	2023-05-31	暂停进口
47	48	中国台湾	水产品	CTWN18FV1806010417	CT7-0541	兴顺622	高雄市前镇区渔港南一路39号	2018-06-01	2023-05-31	暂停进口
48	49	中国台湾	水产品	CTWN18FV1806010418	CT7-0542	丰春36号	高雄市前镇区渔港东二路3号3楼328室	2018-06-01	2023-05-31	暂停进口
49	50	中国台湾	水产品	CTWN18FV1806010414	CT7-0536	建昶326	高雄市鼓山区延平街48号	2018-06-01	2023-05-31	暂停进口
50	51	中国台湾	水产品	CTWN18PP1806010057	7F30076/64004337	全津食品股份有限公司	高雄市小港区中亨街26号	2018-06-01	2023-05-31	有效
51	52	中国台湾	水产品	CTWN18PP1806010058	7F30079/99665510	宏益冷冻食品股份有限公司	屏东县内埔乡丰田村建邦路6号	2018-06-01	2023-05-31	有效
52	53	中国台湾	水产品	CTWN18PP1806010059	7F3F001/64006117	顺亿超低温股份有限公司	高雄市前镇区渔港南一路39号	2018-06-01	2023-05-31	有效
53	54	中国台湾	水产品	CTWN18FV1806010239	CT4-2926	满渔丰1号	屏东县琉球乡南福村12邻忠孝路6之1号	2018-06-01	2023-05-31	暂停进口
54	55	中国台湾	水产品	CTWN18FV1806010245	CT4-2965	明满祥86号	屏东县琉球乡大福村和平路1巷25号	2018-06-01	2023-05-31	暂停进口
55	56	中国台湾	水产品	CTWN18FV1806010241	CT4-2949	金钻303	高雄市前镇区渔港南一路15号3楼	2018-06-01	2023-05-31	暂停进口
56	57	中国台湾	水产品	CTWN18FV1806010242	CT4-2956	满福财168	屏东县东港镇兴东里沿海路388号5楼	2018-06-01	2023-05-31	暂停进口
57	58	中国台湾	水产品	CTWN18FV1806010243	CT4-2959	年胜3	屏东县东港镇中正路32号	2018-06-01	2023-05-31	暂停进口
58	59	中国台湾	水产品	CTWN18FV1806010244	CT4-2964	升丰176	屏东县琉球乡天福村中正路73号之3	2018-06-01	2023-05-31	暂停进口
59	60	中国台湾	水产品	CTWN18FV1806010240	CT4-2943	兴满镒6	屏东县琉球乡本福村中山路62-8号	2018-06-01	2023-05-31	暂停进口
60	61	中国台湾	水产品	CTWN18FV1806010247	CT4-2970	明镒发18号	屏东县琉球乡大福村15邻和平路3巷53号	2018-06-01	2023-05-31	暂停进口
61	62	中国台湾	水产品	CTWN18FV1806010248	CT4-2974	连吉发212号	屏东县琉球乡上福村中华路2之12号	2018-06-01	2023-05-31	暂停进口
62	63	中国台湾	水产品	CTWN18FV1806010249	CT4-2979	明亿满168号	屏东县琉球乡仁爱路92号	2018-06-01	2023-05-31	暂停进口
63	64	中国台湾	水产品	CTWN18FV1806010250	CT4-2982	兴富发	屏东县琉球乡上福村杉板路81巷18号	2018-06-01	2023-05-31	暂停进口
64	65	中国台湾	水产品	CTWN18FV1806010256	CT4-3006	顺稳发	屏东县新园乡盐埔村盐洲路130号	2018-06-01	2023-05-31	暂停进口
65	66	中国台湾	水产品	CTWN18FV1806010252	CT4-2999	旭承辉	屏东县琉球乡上福村中华路24号之2	2018-06-01	2023-05-31	暂停进口
66	67	中国台湾	水产品	CTWN18FV1806010253	CT4-3000	明志福20号	屏东县琉球乡上福村中华路4之10号	2018-06-01	2023-05-31	暂停进口
67	68	中国台湾	水产品	CTWN18FV1806010254	CT4-3003	达吉发	屏东县琉球乡中正路215号	2018-06-01	2023-05-31	暂停进口
68	69	中国台湾	水产品	CTWN18FV1806010255	CT4-3004	顺宏	屏东县新园乡光复路17号之2	2018-06-01	2023-05-31	暂停进口
69	70	中国台湾	水产品	CTWN18FV1806010251	CT4-2983	升丰215号	屏东县琉球乡天福村中正路81号	2018-06-01	2023-05-31	暂停进口
70	71	中国台湾	茶（类）饮料	CTWN24052112230001	N-159661701-00001-7	泰山企業股份有限公司田中食品廠	彰化縣田中鎮員集路一段788號	2021-12-23	2026-12-23	暂停进口
71	72	中国台湾	粮食制品以及其它产品	CTWN20012112230019	66001996	金安信食品有限公司	寶山里工業區二十二路17號	2021-12-23	2026-12-23	有效
72	73	中国台湾	水产品	CTWN18PP1903220165	18000181	觀文冷凍食品科技股份有限公司	新竹市香山區樹下里牛埔南路496巷21號	2019-03-22	2024-03-21	暂停进口
73	74	中国台湾	水产品	CTWN18FV1903220558	CT4-1461	新勝發3號	屏東縣東港鎮船頭里嘉新路128巷17號	2019-03-22	2024-03-21	暂停进口
74	75	中国台湾	水产品	CTWN18FV1903220573	CT4-2289	昇益利58號	宜蘭縣蘇澳鎮永榮里文中街71巷9弄2號	2019-03-22	2024-03-21	暂停进口
75	76	中国台湾	水产品	CTWN18FV1806010108	CT3-5712	天进兴22	屏东县东港镇盛渔里2邻延平路315号之1	2018-06-01	2023-05-31	暂停进口
76	77	中国台湾	水产品	CTWN18PP1806010135	99667199	华联食品工业股份有限公司	基隆市七堵区自强路102号	2018-06-01	2023-05-31	暂停进口
77	78	中国台湾	水产品	CTWN18FV1806010257	CT4-3009	瑞满发号	屏东县琉球乡南福村忠孝路68之1号	2018-06-01	2023-05-31	暂停进口
78	79	中国台湾	水产品	CTWN18FV1806010246	CT4-2968	国荣336	屏东县琉球乡杉板路61巷16号	2018-06-01	2023-05-31	暂停进口
79	80	中国台湾	水产品	CTWN18FV1806010367	CT7-0169	合阳1号	高雄市前镇区渔港东二路3号316室	2018-06-01	2023-05-31	暂停进口
80	81	中国台湾	水产品	CTWN18FV1903220680	CT8-0072	穩發666	高雄市前鎮區明道路115號	2019-03-22	2024-03-21	有效
81	82	中国台湾	水产品	CTWN18FV1903220612	CT4-3063	新勝利6	宜蘭縣蘇澳鎮南成里新化巷15之1號	2019-03-22	2024-03-21	暂停进口
82	83	中国台湾	水产品	CTWN18FV1806010325	CT6-1385	金胜6号	宜兰县苏澳镇南兴里华山路95号	2018-06-01	2023-05-31	暂停进口
83	84	中国台湾	水产品	CTWN18FV1806010452	CT7-0628	祥百发号	高雄市前镇区渔港中一路2号4楼418室	2018-06-01	2023-05-31	暂停进口
84	85	中国台湾	水产品	CTWN18FV1806010187	CT4-2642	圣易财166	屏东县琉球乡三民路137之4号	2018-06-01	2023-05-31	暂停进口
85	86	中国台湾	水产品	CTWN18PP1806010050	6FH0011/99675905	保证责任嘉义县六合全渔业生产合作社	嘉义县六脚乡潭墘村潭子墘75之20号	2018-06-01	2023-05-31	暂停进口
86	87	中国台湾	水产品	CTWN18FV1806010451	CT7-0626	再发2	高雄市前镇区佛道路150号	2018-06-01	2023-05-31	暂停进口
87	88	中国台湾	水产品	CTWN18PP1806010013	2FH0002/99620099	兰扬食品股份有限公司	宜兰县五结乡利泽工业区利工二路53号	2018-06-01	2023-05-31	有效
88	89	中国台湾	水产品	CTWN18FV1806010336	CT6-1431	达隆昶2	屏东县东港镇朝隆路188号1楼	2018-06-01	2023-05-31	暂停进口
89	90	中国台湾	水产品	CTWN18FV1806010161	CT4-2482	连有发	屏东县琉球乡仁爱路75之5号	2018-06-01	2023-05-31	暂停进口
90	91	中国台湾	水产品	CTWN18FV1903220687	CT8-0133	穩發勝3	806高雄市前鎮區明道路115號	2019-03-22	2024-03-21	有效
91	92	中国台湾	水产品	CTWN18PP1806010146	99704684	宏嘉食品股份公司	高雄市冈山区嘉新东路1巷5号	2018-06-01	2023-05-31	暂停进口
92	93	中国台湾	水产品	CTWN18FV1806010192	CT4-2663	天合发	屏东县琉球乡中兴路17之2号	2018-06-01	2023-05-31	暂停进口
93	94	中国台湾	水产品	CTWN18PP1806010039	65001706	春保食品股份有限公司	新北市新店区宝兴路53号5楼	2018-06-01	2023-05-31	暂停进口
94	95	中国台湾	水产品	CTWN18FV1806010495	CT8-0113	丰国189	高雄市前镇区渔港东二路3号423室	2018-06-01	2023-05-31	暂停进口
95	96	中国台湾	水产品	CTWN18PP1806010041	6F3F001/99711241	品元国际股份有限公司	台南市关庙区五甲村南雄路一段502号	2018-06-01	2023-05-31	有效
96	97	中国台湾	水产品	CTWN18FV1806010274	CT4-3097	升来金	高雄市前镇区国光路32号	2018-06-01	2023-05-31	暂停进口
97	98	中国台湾	水产品	CTWN18FV1806010147	CT4-2207	进金和发	澎湖县西屿乡外埯村外埯45－4号	2018-06-01	2023-05-31	暂停进口
98	99	中国台湾	水产品	CTWN18FV1806010453	CT7-0629	春豪	高雄市前镇区渔港东二路3号4楼408室	2018-06-01	2023-05-31	有效
99	100	中国台湾	水产品	CTWN18PP1806010040	66001233	轩旺食品有限公司	台中市神冈区福成路28之1号	2018-06-01	2023-05-31	暂停进口
100	101	中国台湾	固体饮料	CTWN24082112230005	H-189261528-00000-6	绿壮国际股份有限公司	桃园市芦竹区南崁路二段66-8号6楼	2021-12-23	2026-12-23	有效
101	102	中国台湾	水产品	CTWN18FV1903220571	CT4-2167	金瑞祥68號	宜蘭縣五結鄉季新村新店路106號	2019-03-22	2024-03-21	暂停进口
102	103	中国台湾	水产品	CTWN18FV1903220572	CT4-2277	振发利8号	屏东县东港镇盛渔里富渔三路47号	2019-03-22	2024-03-21	暂停进口
103	104	中国台湾	水产品	CTWN18FV1806010019	CT3-2143	大益丰2	屏东县东港镇新胜里中山路2之35号	2018-06-01	2023-05-31	暂停进口
104	105	中国台湾	水产品	CTWN18FV1806010200	CT4-2728	圣易财668号	屏东县东港镇东隆里光复路三段187号	2018-06-01	2023-05-31	暂停进口
105	106	中国台湾	水产品	CTWN18FV1806010034	CT3-3794	宏隆32号	台东县成功镇忠仁里中山东路105号	2018-06-01	2023-05-31	暂停进口
106	107	中国台湾	水产品	CTWN18FV1806010008	CT2-4486	大发兴号	台东县成功镇忠仁里7邻东海路59号	2018-06-01	2023-05-31	暂停进口
107	108	中国台湾	水产品	CTWN18PP1806010034	64006133	互得惠企业有限公司	高雄市前镇区新衙路296巷81弄13号	2018-06-01	2023-05-31	暂停进口
108	109	中国台湾	水产品	CTWN18FV1806010175	CT4-2593	宏益福268	台北市内湖区康宁路三段189巷12弄10号六楼	2018-06-01	2023-05-31	暂停进口
109	110	中国台湾	水产品	CTWN18FV1806010136	CT4-1951	欣升庆101号	高雄市前镇区渔港东二路3号R401之1	2018-06-01	2023-05-31	暂停进口
110	111	中国台湾	水产品	CTWN18FV1903220586	CT4-2651	滿益168	宜蘭縣蘇澳鎮南興里12鄰華山四巷3號	2019-03-22	2024-03-21	暂停进口
111	112	中国台湾	水产品	CTWN18FV1903220520	CT3-3981	協春滿1號	屏東縣東港鎮鎮海里安漁路43巷44號	2019-03-22	2024-03-21	暂停进口
112	113	中国台湾	水产品	CTWN18FV1806010079	CT3-4774	欣昇慶66	高雄市三民區鼎泰里河堤路500號11樓	2018-06-01	2023-05-31	暂停进口
113	114	中国台湾	水产品	CTWN18FV1806010086	CT3-5028	忠盈利2	屏东县东港镇镇海里镇海路7号之10	2018-06-01	2023-05-31	暂停进口
114	115	中国台湾	水产品	CTWN18FV1806010450	CT7-0625	福胜212	高雄市前镇区后平路82号3楼之一	2018-06-01	2023-05-31	有效
115	116	中国台湾	水产品	CTWN18FV1806010063	CT3-4489	震隆成16	屏东县东港镇盛渔里富渔四路16号	2018-06-01	2023-05-31	暂停进口
116	117	中国台湾	水产品	CTWN18FV1806010259	CT4-3020	国荣168	屏东县琉球乡上福村复兴路36之1号	2018-06-01	2023-05-31	暂停进口
117	118	中国台湾	水产品	CTWN18FV1806010051	CT3-4218	渔东发33	屏东县东港镇兴渔里兴渔街140之8号	2018-06-01	2023-05-31	暂停进口
118	119	中国台湾	水产品	CTWN18FV1806010050	CT3-4217	建来成8	屏东县东港镇盛渔里富渔四路6号	2018-06-01	2023-05-31	暂停进口
119	120	中国台湾	水产品	CTWN18FV1806010097	CT3-5558	金丰盛	台东县成功镇忠智里成功路33号	2018-06-01	2023-05-31	暂停进口
120	121	中国台湾	包馅面食	CTWN07012112010107	B-153155039-00000-0	大甲佳旭生技股份有限公司	台中市大安區東安里中山南路96號	2021-01-02	2026-01-01	暂停进口
121	122	中国台湾	包馅面食	CTWN07012112010111	B-180138421-00000-6	太陽堂傳統糕餅有限公司	台中市南區福田路91號2樓	2021-01-02	2026-01-01	暂停进口
122	123	中国台湾	包馅面食	CTWN07012112010110	B-170587594-00000-4	宏噠食品有限公司	台中市神岡區豐洲里神洲路130巷23之6號2樓	2021-01-02	2026-01-01	暂停进口
123	124	中国台湾	包馅面食	CTWN07012112010106	B-142684292-00000-6	俊美食品股份有限公司	台中市西區公正里東興路三段23號1樓	2021-01-02	2026-01-01	暂停进口
124	125	中国台湾	包馅面食	CTWN07012112010112	B-181990827-00005-8	立祥食品行	台中市大甲區德化里經國路1172-1號	2021-01-02	2026-01-01	有效
125	126	中国台湾	包馅面食	CTWN07012112010108	B-154586205-00015-0	陳允寶泉食品股份有限公司	台中市中區公園里自由路二段36號	2021-01-02	2026-01-01	暂停进口
126	127	中国台湾	包馅面食	CTWN07012112010109	B-154759629-00000-6	鴻鼎菓子有限公司	台中市豐原區圓環東路624號1樓	2021-01-02	2026-01-01	暂停进口
127	128	中国台湾	水产品	CTWN18FV1903220633	CT6-1221	永慶發666	807高雄市三民區褒揚東街７２巷１號	2019-03-22	2024-03-21	暂停进口
128	129	中国台湾	水产品	CTWN18PP1806010063	7FH0005/64005696	富貹企业有限公司	高雄市前镇区渔港北三路28号	2018-06-01	2023-05-31	暂停进口
129	130	中国台湾	水产品	CTWN18FV1806010399	CT7-0479	鸿荣101	高雄市前镇区新光路11号36楼之2	2018-06-01	2023-05-31	暂停进口
130	131	中国台湾	茶叶类	CTWN21012112230013	27439074	六季香茶業股份有限公司	南投縣名間鄉松山村豐柏路39號	2021-12-23	2026-12-23	暂停进口
131	132	中国台湾	酱油	CTWN28022112230001	99-634038-00	味全食品工業股份有限公司	台中市霧峰區萬豊里中正路266號	2021-12-23	2026-12-23	暂停进口
132	133	中国台湾	其他调味品	CTWN28052112230001	07857916	太平洋食品廠	中山東路290巷17弄12號	2021-12-23	2026-12-23	有效
133	134	中国台湾	饼干、糕点、面包	CTWN25012112220002	K-150503528-00000-6	冠昇食品工業股份有限公司	苗栗縣竹南鎮崎頂里八鄰山頂15號	2021-12-22	2026-12-22	有效
134	135	中国台湾	膨化食品	CTWN31022112220002	H-186830223-00001-8	豆之家食品科技股份有限公司	No.31, 226 Alley, Sec. 2 Nan Kan RD., Lu Zhu District, Taoyuan City, Taiwan	2021-12-22	2026-12-22	有效
135	136	中国台湾	包馅面食	CTWN07012112010116	B-200154289-00000-9	泰睿國際有限公司	台中市西屯區廣福路291-1號	2021-01-02	2026-01-01	暂停进口
136	137	中国台湾	包馅面食	CTWN07012112010115	B-189505382-00000-9	大友食品實業有限公司	台中市太平區永平路２段４７６巷６６弄１９號	2021-01-02	2026-01-01	有效
137	138	中国台湾	包馅面食	CTWN07012112010114	B-184043094-00000-1	吉美商行	台中市西屯區何源里文心路三段３８０號一樓	2021-01-02	2026-01-01	暂停进口
138	139	中国台湾	包馅面食	CTWN07012112010113	B-182820884-00003-2	似錦堂站前店	台中市西區民權路31號	2021-01-02	2026-01-01	暂停进口
139	140	中国台湾	包馅面食	CTWN07012112010117	D-124917002-00003-9	福昇食品有限公司	台南市南區彰南里新和橫路13之1號	2021-01-02	2026-01-01	暂停进口
140	141	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012112230005	65534366	愛之味股份有限公司	興南村工業二路11號	2021-12-23	2026-12-23	有效
141	142	中国台湾	茶叶类	CTWN21012112230008	45126953	百連香國際有限公司	南投縣名間鄉松柏村名松路二段298巷7號1樓	2021-12-23	2026-12-23	有效
142	143	中国台湾	茶叶类	CTWN21012112230009	9970573800	茶博士企业股份有限公司	台南市南区新义南路1号	2021-12-23	2026-12-23	有效
143	144	中国台湾	粮食制品以及其它产品	CTWN20012112230022	99-634038-00	味全食品工業股份有限公司	台中市霧峰區萬豊里中正路266號	2021-12-23	2026-12-23	暂停进口
144	145	中国台湾	饼干、糕点、面包	CTWN25012112230003	31264218	郭元益食品股份有限公司	台灣桃園市楊梅區青年路9巷1號	2021-12-23	2026-12-23	暂停进口
145	146	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012112230006	61772289	華南食品工業股份有限公司	南投縣南投市永豐里自立一路9號	2021-12-23	2026-12-23	有效
146	147	中国台湾	茶叶类	CTWN21012112230010	53981474	贵族国际有限公司	台中市大里区大里二街1号1楼	2021-12-23	2026-12-23	有效
147	148	中国台湾	膨化食品	CTWN31022112230003	07-000941	BEST FRESH FOOD CO.,LTD	新北市三峡区介寿路3段241巷1号	2021-12-23	2026-12-23	暂停进口
148	149	中国台湾	茶（类）饮料	CTWN24052112230003	70849247	無菌一廠品管一課	台灣省台中市梧棲區經三路11號	2021-12-23	2026-12-23	有效
149	150	中国台湾	巴氏杀菌乳和其他乳制品	CTWN17021908310007	9965471400	光泉牧场股份有限公司嘉义厂	嘉义县民雄工业区成功街1号	2019-08-31	2023-08-31	暂停进口
150	151	中国台湾	饼干、糕点、面包	CTWN25012112230004	96869393	艾芬迪食品股份有限公司仁德廠	台南縣仁德鄉仁義村義林一街二三八號	2021-12-23	2026-12-23	暂停进口
151	152	中国台湾	茶叶类	CTWN21012112230012	67001309	新鳳鳴茶業有限公司	臺南市永康區尚頂里正南三路1號	2021-12-23	2026-12-23	有效
152	153	中国台湾	固体饮料	CTWN24082112230006	99717901	绿壮国际股份有限公司芦竹厂	中国台湾桃园市芦竹区南崁路二段66-8号6楼	2021-12-23	2026-12-23	暂停进口
153	154	中国台湾	茶叶类	CTWN21012112230011	24530057	台灣杉葉茶業有限公司	南投縣名間鄉赤水村南田路243號	2021-12-23	2026-12-23	暂停进口
154	155	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012112230004	99-634038-00	味全食品工業股份有限公司	台中市霧峰區萬豊里中正路266號	2021-12-23	2026-12-23	暂停进口
155	156	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012112230003	07857916	太平洋食品廠	中山東路290巷17弄12號	2021-12-23	2026-12-23	有效
156	157	中国台湾	粮食制品以及其它产品	CTWN20012112230021	60667909	华益工厂/HWA YI FOODS INDUSTRIAL CORP.	中国台湾彰化縣埤頭鄉崙腳村和平路280號	2021-12-23	2026-12-23	有效
157	158	中国台湾	茶（类）饮料	CTWN24052112230002	D-180114011-00001-8	全久榮企業股份有限公司	台南市歸仁區高發三路一段35號	2021-12-23	2026-12-23	有效
158	159	中国台湾	茶叶类	CTWN21012112230007	99-711713-00	FLAVOUR WORLD CO., LTD	臺南市永康區東橋里中正路277之2號1樓	2021-12-23	2026-12-23	有效
159	160	中国台湾	粮食制品以及其它产品	CTWN20012112220016	99635121-00	宏廣製麵廠有限公司	台中市霧峰區新厝路261巷10弄8號	2021-12-22	2026-12-22	有效
160	161	中国台湾	糖浆	CTWN26042112230001	72139995	晉弘實業股份有限公司	臺南市麻豆區麻口里麻豆口32之2號(	2021-12-23	2026-12-23	有效
161	162	中国台湾	粮食制品以及其它产品	CTWN20012112230020	66-002862	餐御宴食品有限公司	台中市大甲区日南里工七路26号	2021-12-23	2026-12-23	有效
162	163	中国台湾	膨化食品	CTWN31022112230004	D-154069552-00000-7	自然素材食品有限公司	台南市永康区埔园里自强路582号1楼	2021-12-23	2026-12-23	暂停进口
